Storage Device Category
M.2_NVMe_SSD
M.2_SATA_SSD
"2.5""_NVMe_SSD"
"2.5""_SATA_SSD"
"2.5""_SATA_HDD"
"3.5""_SATA_HDD"
PCIe_Card_SSD
