ID,DIMM Vendor,Part Number,Memory Types,# of Pin,ECC Support,Maximum Memory Speed,Memory Size(GB),# of Rank,RAM Chip,User
M20200401101058032800,Micron,MTA36ADS2G72PZ,DDR4_VLP_RDIMM,288,Yes,2133,16,Dual-rank,8Gb TwinDie,Admin
M20200401101232740400,Micron,MTA18ASF2G72PZ,DDR4_RDIMM,288,Yes,2933,32,Dual-rank,8,Admin
M20200401102936947200,Samsung,M39A2K40BB0,DDR4_RDIMM,288,Yes,2133,16,1,8,Admin
M20200401103224226000,Micron,MTA36ASF4G72PZ,DDR4_RDIMM,288,Yes,2933,16,Single-rank,8,Admin
M20200401103357482800,Advantech,AQD-D4U8GR24-HE,DDR4_RDIMM,288,Yes,2400,16,Single-rank,1Gbx8_HYNIX,Admin
