Test_ID,Model_Name,Product_Name,Test_Date,CPU,CPU_#,Topology,Memory,Link_Speed,Memory_Location,Controller,Card_Name,Data_Rate,Port_#,Link_Speed_lan,Test_Case_ID,Comment,64_Bytes,128_Bytes,256_Bytes,512_Bytes,1024_Bytes,1280_Bytes,1518_Bytes,User
20200424170748,MP20200325091925785800,MP20200325091925785800,2020-04-07,C20200325110719668200,2,NA,M20200401101232740400,2666,"['A1', 'B1', 'C1', 'D1', 'A2', 'B2', 'C2', 'D2']",L20200401111325764400,L20200401111325764400,10Gb,2,5.0GT/s x4 lanes,D01-2,N/A,"0,0,0,0,0,2.446,15.761,26.323,34.528,40.945,46.496","0,0,0,0,0,0,0.275,10.963,19.547,26.855,77.234","0,0,0,0,0,0,0,8.001,16.239,24.77,78.119","0,0,0,0,0,0,0,0,0,7.015,96.289","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100",dqa
20200427162047,MP20200325134912591000,MP20200325134912591000,2020-03-11,C20200325111131938400,1,NA,M20200401101058032800,2400,"['A1', 'B1']",L20200401111325764400,L20200401111325764400,10Gb,2,8.0GT/s x8 lanes,D10-6,N/A,"0,0,0,0,0,0,0,0,26.474,40.305,83.203","0,0,0,0,0,0,0,0,0,0,99.707","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100",dqa
20200424171006,MP20200325111338085400,MP20200325111338085400,2020-04-14,C20200325111243756400,2,NA,M20200401103224226000,2666,"['A1', 'B1']",L20200401111325764400,L20200401111325764400,10Gb,2,8.0GT/s x8 lanes,D01-6,N/A,"0,0,5.252,29.069,43.124,52.546,59.379,64.463,68.404,71.587,28.275","0,0,0,0,0,12.722,25.217,34.586,41.842,47.635,50.684","0,0,0,0,0,1.783,15.82,26.309,34.51,41.026,58.105","0,0,0,0,0,0,13.432,24.195,32.499,39.309,60.059","0,0,0,0,0,0,12.714,23.624,32.11,38.899,61.035","0,0,0,0,0,0,13.013,23.887,32.343,39.109,60.84","0,0,0,0,0,0,13.935,24.694,33.061,39.755,60.254",dqa
20200424171148,MP20200325111322943400,MP20200325111322943400,2020-04-23,C20200325111208325400,1,NA,M20200401102936947200,2666,"['A1', 'B1', 'A2', 'B2']",L20200427152253396600,L20200427152253396600,40Gb,4,5.0GT/s x8 lanes,D40-6,N/A,"0,0,0,0,0,0.021,13.618,24.416,32.826,39.529,59.395","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100",dqa
20200427162603,MP20200325091925785800,MP20200325091925785800,2020-02-26,C20200325111243756400,2,NA,M20200401103357482800,2933,"['A1', 'B1', 'A2', 'B2']",L20200427152340602200,L20200427152340602200,1Gb,4,5.0GT/s x8 lanes,D01-7,N/A,"0,0,0,0,0,0,0,0.417,9.784,18.822,76.507","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100","0,0,0,0,0,0,0,0,0,0,100",dqa
