Code Name
Apollo_Lake
Bay_Trail
Broadwell_DE
Broadwell_EP
Broadwell_H
Broadwell_U/Y
Cascade_Lake_SP
Coffee_Lake_H
Coffee_Lake_S
Coffee_Lake_U
Denverton_NS
Ivy_Bridge_EP
Haswell-EP
Haswell_E/Broadwell_E
Kaby_Lake_H
Kaby_Lake_S
Kaby_Lake_U/Y
Rangeley
Sandy_Bridge_EP
Skylake_D
Skylake_H
Skylake_S
Skylake_SP
Skylake_U/Y
