Test_ID,PCB_Name,Memory_Name,Memory_Frequency,Intel_code_name,Sample,RxDqs-,RxDqs+,RxV-,RxV+,TxDq-,TxDq+,TxV-,TxV+,Cmd-,Cmd+,CmdV-,CmdV+,Ctl-,Ctl+,User,RxDqs-.,RxDqs+.,RxV-.,RxV+.,TxDq-.,TxDq+.,TxV-.,TxV+.,Cmd-.,Cmd+.,CmdV-.,CmdV+.,Ctl-.,Ctl+.
20200414134816,Test1,MTA18ASF2G72PZ,DDR4-2400,PURLEY,1x1x3,13,15,15,12,14,12,10,10,36,37,18,22,50,48,James,9,9,12,12,10,10,10,10,19,19,12,12,19,19
20200414142811,Test1,AQD-D4U8GR24-HE,DDR4-2133,PURLEY,1x1x3,13,15,15,12,14,12,10,10,36,37,18,22,50,48,James,0,0,12,12,0,0,10,10,19,19,12,12,19,19
20200423165928,Test1,MTA18ASF2G72PZ,DDR4-2400,PURLEY,1x1x3,13,15,15,12,14,12,10,10,36,37,18,22,50,48,james,9,9,12,12,10,10,10,10,19,19,12,12,19,19
20200423171725,pcb_test,MTA36ADS2G72PZ,DDR4-2400,PURLEY,1x1x3,13,15,15,12,14,12,10,10,36,37,18,22,50,48,james,9,9,12,12,10,10,10,10,19,19,12,12,19,19
